wilaya,wilaya_ar,wilaya_en,population_2019,enfants_6_14,enfants_hors_ecole,taux_hors_ecole,taux_pauvrete,part_rurale,taux_garcons,taux_filles,pct_mahadra,pct_aucune_instruction,ratio_dependance,indice,rang,niveau_priorite,mecanisme,explication,explication_ar,explication_en,n_echantillon,part_nationale,actions,actions_ar,actions_en,enfants_sans_instruction,enfants_mahadra,salles_necessaires
Guidimakha,كيدي ماغة,Guidimakha,308457,93317,41469,44.4,54.3,85.9,45.8,43.1,1.9,42.5,111,81,1,Très élevée,Exclusion,"Guidimakha est classé en priorité très élevée (rang 1 sur 13). 41 469 enfants de 6 à 14 ans n'ont jamais fréquenté l'école formelle, soit 44,4 % de cette classe d'âge. Le taux de pauvreté y atteint 54 % et 86 % de la population vit en milieu rural. 42,5 % des enfants ne reçoivent aucune instruction, contre 1,9 % en mahadra ou école coranique : ces enfants sont hors de tout circuit d'apprentissage. Le levier prioritaire est la création d'offre scolaire.","تُصنَّف ولاية كيدي ماغة ضمن أولوية قصوى (الرتبة 1 من 13). 41,469 طفلاً تتراوح أعمارهم بين 6 و14 سنة لم يلتحقوا قط بالمدرسة النظامية، أي 44.4 % من هذه الفئة العمرية. يبلغ معدل الفقر 54 % ويعيش 86 % من السكان في الوسط الريفي. 42.5 % من الأطفال لا يتلقون أي تعليم، مقابل 1.9 % في المحظرة أو الكتّاب: هؤلاء الأطفال خارج كل مسار تعليمي. الأولوية هي بناء المدارس.","Guidimakha ranks 1 of 13, very high priority. 41,469 children aged 6 to 14 have never attended formal school — 44.4 % of that age group. The poverty rate reaches 54 % and 86 % of the population lives in rural areas. 42.5 % of children receive no instruction at all, against 1.9 % in mahadra or Quranic school: these children are outside every learning path. The priority is to build schools.",1879,11.4,"Ouvrir des écoles::39 660 enfants ne reçoivent aucune instruction. Il faut environ 992 salles de classe pour les accueillir. | S'appuyer sur les mahadras existantes::1 773 enfants y suivent déjà un enseignement. Les certifier coûte moins cher que de construire, et donne un résultat plus vite. | Lever l'obstacle du coût::54 % de la population vit dans la pauvreté. Cantines scolaires, gratuité des fournitures et transferts aux familles conditionnent la fréquentation réelle.","فتح مدارس::39,660 طفلاً لا يتلقون أي تعليم. يلزم نحو 992 قاعة دراسية لاستقبالهم. | الاعتماد على المحاظر القائمة::1,773 طفلاً يدرسون فيها بالفعل. اعتمادها أقل كلفة من البناء ويعطي نتيجة أسرع. | رفع عائق التكلفة::54 % من السكان يعيشون في فقر. المطاعم المدرسية ومجانية اللوازم والتحويلات للأسر هي ما يحدد الحضور الفعلي.","Open schools::39,660 children receive no instruction at all. About 992 classrooms are needed to take them in. | Build on the existing mahadras::1,773 children already study there. Certifying them costs less than building and delivers results faster. | Remove the cost barrier::54 % of the population lives in poverty. School canteens, free supplies and cash transfers to families decide whether children actually attend.",39660,1773,1037
Hodh El Charghi,الحوض الشرقي,Hodh Ech Chargui,502594,145750,59368,40.7,24.5,82.0,41.7,39.7,33.4,7.3,116,77,2,Très élevée,Substitution,"Hodh El Charghi est classé en priorité très élevée (rang 2 sur 13). 59 368 enfants de 6 à 14 ans n'ont jamais fréquenté l'école formelle, soit 40,7 % de cette classe d'âge. Le taux de pauvreté y atteint 24 % et 82 % de la population vit en milieu rural. 33,4 % des enfants suivent une mahadra ou une école coranique et 7,3 % seulement ne reçoivent aucune instruction : la majorité apprend déjà, mais hors du système reconnu. Le levier prioritaire est la passerelle vers le formel.","تُصنَّف ولاية الحوض الشرقي ضمن أولوية قصوى (الرتبة 2 من 13). 59,368 طفلاً تتراوح أعمارهم بين 6 و14 سنة لم يلتحقوا قط بالمدرسة النظامية، أي 40.7 % من هذه الفئة العمرية. يبلغ معدل الفقر 24 % ويعيش 82 % من السكان في الوسط الريفي. 33.4 % من الأطفال يدرسون في المحظرة أو الكتّاب و7.3 % فقط لا يتلقون أي تعليم: الأغلبية تتعلم بالفعل لكن خارج النظام المعترف به. الأولوية هي إنشاء جسور نحو التعليم النظامي.","Hodh Ech Chargui ranks 2 of 13, very high priority. 59,368 children aged 6 to 14 have never attended formal school — 40.7 % of that age group. The poverty rate reaches 24 % and 82 % of the population lives in rural areas. 33.4 % of children attend a mahadra or Quranic school and only 7.3 % receive no instruction: most are already learning, but outside the recognised system. The priority is bridges into formal schooling.",2293,16.3,"Créer des passerelles::48 680 enfants sont en mahadra ou école coranique. Ils apprennent déjà : il faut reconnaître leurs acquis et leur ouvrir l'accès au diplôme. | Ne pas oublier les enfants sans aucune instruction::10 640 enfants ne sont nulle part, ni à l'école ni en mahadra. Les passerelles ne les atteindront pas : il leur faut une école. | Rapprocher l'école des familles::82 % de la population vit à la campagne. Mieux vaut plusieurs petites écoles de proximité qu'un grand établissement loin de tout.","إنشاء جسور::48,680 طفلاً يدرسون في المحظرة أو الكتّاب. هم يتعلمون بالفعل: يجب الاعتراف بمكتسباتهم وفتح الطريق أمامهم نحو الشهادة. | عدم نسيان الأطفال بلا أي تعليم::10,640 طفلاً ليسوا في أي مكان، لا في المدرسة ولا في المحظرة. الجسور لن تصل إليهم: يحتاجون إلى مدرسة. | تقريب المدرسة من الأسر::82 % من السكان يعيشون في الريف. عدة مدارس صغيرة قريبة أفضل من مؤسسة كبيرة بعيدة عن كل شيء.","Build bridges::48,680 children attend a mahadra or Quranic school. They are already learning: recognise what they know and open the path to a qualification. | Do not forget children with no instruction::10,640 children are nowhere — neither school nor mahadra. Bridges will not reach them: they need a school. | Bring school closer to families::82 % of the population lives in rural areas. Several small local schools work better than one large one far from everything.",10640,48680,1484
Hodh El Gharbi,الحوض الغربي,Hodh El Gharbi,324165,92485,43696,47.2,35.5,79.6,46.2,48.3,32.9,14.3,113,76,3,Très élevée,Substitution,"Hodh El Gharbi est classé en priorité très élevée (rang 3 sur 13). 43 696 enfants de 6 à 14 ans n'ont jamais fréquenté l'école formelle, soit 47,2 % de cette classe d'âge. Le taux de pauvreté y atteint 36 % et 80 % de la population vit en milieu rural. 32,9 % des enfants suivent une mahadra ou une école coranique et 14,3 % seulement ne reçoivent aucune instruction : la majorité apprend déjà, mais hors du système reconnu. Le levier prioritaire est la passerelle vers le formel.","تُصنَّف ولاية الحوض الغربي ضمن أولوية قصوى (الرتبة 3 من 13). 43,696 طفلاً تتراوح أعمارهم بين 6 و14 سنة لم يلتحقوا قط بالمدرسة النظامية، أي 47.2 % من هذه الفئة العمرية. يبلغ معدل الفقر 36 % ويعيش 80 % من السكان في الوسط الريفي. 32.9 % من الأطفال يدرسون في المحظرة أو الكتّاب و14.3 % فقط لا يتلقون أي تعليم: الأغلبية تتعلم بالفعل لكن خارج النظام المعترف به. الأولوية هي إنشاء جسور نحو التعليم النظامي.","Hodh El Gharbi ranks 3 of 13, very high priority. 43,696 children aged 6 to 14 have never attended formal school — 47.2 % of that age group. The poverty rate reaches 36 % and 80 % of the population lives in rural areas. 32.9 % of children attend a mahadra or Quranic school and only 14.3 % receive no instruction: most are already learning, but outside the recognised system. The priority is bridges into formal schooling.",1380,12.0,"Créer des passerelles::30 428 enfants sont en mahadra ou école coranique. Ils apprennent déjà : il faut reconnaître leurs acquis et leur ouvrir l'accès au diplôme. | Ne pas oublier les enfants sans aucune instruction::13 225 enfants ne sont nulle part, ni à l'école ni en mahadra. Les passerelles ne les atteindront pas : il leur faut une école. | Lever l'obstacle du coût::36 % de la population vit dans la pauvreté. Cantines scolaires, gratuité des fournitures et transferts aux familles conditionnent la fréquentation réelle.","إنشاء جسور::30,428 طفلاً يدرسون في المحظرة أو الكتّاب. هم يتعلمون بالفعل: يجب الاعتراف بمكتسباتهم وفتح الطريق أمامهم نحو الشهادة. | عدم نسيان الأطفال بلا أي تعليم::13,225 طفلاً ليسوا في أي مكان، لا في المدرسة ولا في المحظرة. الجسور لن تصل إليهم: يحتاجون إلى مدرسة. | رفع عائق التكلفة::36 % من السكان يعيشون في فقر. المطاعم المدرسية ومجانية اللوازم والتحويلات للأسر هي ما يحدد الحضور الفعلي.","Build bridges::30,428 children attend a mahadra or Quranic school. They are already learning: recognise what they know and open the path to a qualification. | Do not forget children with no instruction::13,225 children are nowhere — neither school nor mahadra. Bridges will not reach them: they need a school. | Remove the cost barrier::36 % of the population lives in poverty. School canteens, free supplies and cash transfers to families decide whether children actually attend.",13225,30428,1092
Assaba,لعصابة,Assaba,377656,115838,48134,41.6,34.4,69.3,43.1,39.9,23.5,18.1,114,74,4,Élevée,Substitution,"Assaba est classé en priorité élevée (rang 4 sur 13). 48 134 enfants de 6 à 14 ans n'ont jamais fréquenté l'école formelle, soit 41,6 % de cette classe d'âge. Le taux de pauvreté y atteint 34 % et 69 % de la population vit en milieu rural. 23,5 % des enfants suivent une mahadra ou une école coranique et 18,1 % seulement ne reçoivent aucune instruction : la majorité apprend déjà, mais hors du système reconnu. Le levier prioritaire est la passerelle vers le formel.","تُصنَّف ولاية لعصابة ضمن أولوية عالية (الرتبة 4 من 13). 48,134 طفلاً تتراوح أعمارهم بين 6 و14 سنة لم يلتحقوا قط بالمدرسة النظامية، أي 41.6 % من هذه الفئة العمرية. يبلغ معدل الفقر 34 % ويعيش 69 % من السكان في الوسط الريفي. 23.5 % من الأطفال يدرسون في المحظرة أو الكتّاب و18.1 % فقط لا يتلقون أي تعليم: الأغلبية تتعلم بالفعل لكن خارج النظام المعترف به. الأولوية هي إنشاء جسور نحو التعليم النظامي.","Assaba ranks 4 of 13, high priority. 48,134 children aged 6 to 14 have never attended formal school — 41.6 % of that age group. The poverty rate reaches 34 % and 69 % of the population lives in rural areas. 23.5 % of children attend a mahadra or Quranic school and only 18.1 % receive no instruction: most are already learning, but outside the recognised system. The priority is bridges into formal schooling.",1468,13.2,"Créer des passerelles::27 222 enfants sont en mahadra ou école coranique. Ils apprennent déjà : il faut reconnaître leurs acquis et leur ouvrir l'accès au diplôme. | Ne pas oublier les enfants sans aucune instruction::20 967 enfants ne sont nulle part, ni à l'école ni en mahadra. Les passerelles ne les atteindront pas : il leur faut une école. | Rapprocher l'école des familles::69 % de la population vit à la campagne. Mieux vaut plusieurs petites écoles de proximité qu'un grand établissement loin de tout.","إنشاء جسور::27,222 طفلاً يدرسون في المحظرة أو الكتّاب. هم يتعلمون بالفعل: يجب الاعتراف بمكتسباتهم وفتح الطريق أمامهم نحو الشهادة. | عدم نسيان الأطفال بلا أي تعليم::20,967 طفلاً ليسوا في أي مكان، لا في المدرسة ولا في المحظرة. الجسور لن تصل إليهم: يحتاجون إلى مدرسة. | تقريب المدرسة من الأسر::69 % من السكان يعيشون في الريف. عدة مدارس صغيرة قريبة أفضل من مؤسسة كبيرة بعيدة عن كل شيء.","Build bridges::27,222 children attend a mahadra or Quranic school. They are already learning: recognise what they know and open the path to a qualification. | Do not forget children with no instruction::20,967 children are nowhere — neither school nor mahadra. Bridges will not reach them: they need a school. | Bring school closer to families::69 % of the population lives in rural areas. Several small local schools work better than one large one far from everything.",20967,27222,1203
Nouakchott,نواكشوط,Nouakchott,1195636,265911,65995,24.8,13.1,0.0,28.0,21.5,14.5,10.3,63,62,5,Élevée,Volume élevé,"Nouakchott est classé en priorité élevée (rang 5 sur 13). 65 995 enfants de 6 à 14 ans n'ont jamais fréquenté l'école formelle, soit 24,8 % de cette classe d'âge. Le taux de pauvreté y atteint 13 % et 0 % de la population vit en milieu rural. La wilaya concentre à elle seule 18,1 % des enfants hors école du pays alors que son taux reste sous la moyenne nationale (33,1 %) : le problème est un problème de masse. Le levier prioritaire est la capacité d'accueil.","تُصنَّف ولاية نواكشوط ضمن أولوية عالية (الرتبة 5 من 13). 65,995 طفلاً تتراوح أعمارهم بين 6 و14 سنة لم يلتحقوا قط بالمدرسة النظامية، أي 24.8 % من هذه الفئة العمرية. يبلغ معدل الفقر 13 % ويعيش 0 % من السكان في الوسط الريفي. تضم الولاية وحدها 18.1 % من أطفال البلد خارج المدرسة، رغم أن معدلها يبقى دون المعدل الوطني (33.1 %): المشكلة هنا مشكلة حجم. الأولوية هي الطاقة الاستيعابية.","Nouakchott ranks 5 of 13, high priority. 65,995 children aged 6 to 14 have never attended formal school — 24.8 % of that age group. The poverty rate reaches 13 % and 0 % of the population lives in rural areas. The wilaya alone holds 18.1 % of the country's out-of-school children while its rate stays below the national average (33.1 %): this is a problem of scale. The priority is intake capacity.",2619,18.1,"Augmenter la capacité d'accueil::65 995 enfants hors école, soit environ 1 650 salles de classe et les enseignants qui vont avec. | S'appuyer sur les mahadras existantes::38 557 enfants y suivent déjà un enseignement. Les certifier coûte moins cher que de construire, et donne un résultat plus vite. | Cibler les quartiers, pas la wilaya::Le milieu est majoritairement urbain (100 %). Le besoin n'est pas réparti également : il se concentre dans les quartiers périphériques. | Viser d'abord les garçons::L'écart atteint 6,5 points au détriment de les garçons. C'est l'un des écarts les plus marqués du pays : une campagne ciblée est justifiée.","رفع الطاقة الاستيعابية::65,995 طفلاً خارج المدرسة، أي نحو 1,650 قاعة دراسية والمدرسين اللازمين لها. | الاعتماد على المحاظر القائمة::38,557 طفلاً يدرسون فيها بالفعل. اعتمادها أقل كلفة من البناء ويعطي نتيجة أسرع. | استهداف الأحياء لا الولاية::الوسط حضري في معظمه (100 %). الحاجة ليست موزعة بالتساوي: إنها تتركز في الأحياء الطرفية. | استهداف الأولاد أولاً::يبلغ الفارق 6.5 نقطة على حساب الأولاد. وهو من أوسع الفوارق في البلاد: حملة موجّهة لها ما يبررها.","Increase intake capacity::65,995 children out of school — about 1,650 classrooms and the teachers to staff them. | Build on the existing mahadras::38,557 children already study there. Certifying them costs less than building and delivers results faster. | Target neighbourhoods, not the wilaya::The area is mostly urban (100 %). The need is not evenly spread: it concentrates in outlying neighbourhoods. | Target boys first::The gap reaches 6.5 points against boys. It is one of the widest in the country: a targeted campaign is warranted.",27389,38557,1650
Gorgol,كوركول,Gorgol,369892,116753,39071,33.5,32.4,67.2,31.8,35.3,10.7,22.8,128,60,6,Élevée,Exclusion,"Gorgol est classé en priorité élevée (rang 6 sur 13). 39 071 enfants de 6 à 14 ans n'ont jamais fréquenté l'école formelle, soit 33,5 % de cette classe d'âge. Le taux de pauvreté y atteint 32 % et 67 % de la population vit en milieu rural. 22,8 % des enfants ne reçoivent aucune instruction, contre 10,7 % en mahadra ou école coranique : ces enfants sont hors de tout circuit d'apprentissage. Le levier prioritaire est la création d'offre scolaire.","تُصنَّف ولاية كوركول ضمن أولوية عالية (الرتبة 6 من 13). 39,071 طفلاً تتراوح أعمارهم بين 6 و14 سنة لم يلتحقوا قط بالمدرسة النظامية، أي 33.5 % من هذه الفئة العمرية. يبلغ معدل الفقر 32 % ويعيش 67 % من السكان في الوسط الريفي. 22.8 % من الأطفال لا يتلقون أي تعليم، مقابل 10.7 % في المحظرة أو الكتّاب: هؤلاء الأطفال خارج كل مسار تعليمي. الأولوية هي بناء المدارس.","Gorgol ranks 6 of 13, high priority. 39,071 children aged 6 to 14 have never attended formal school — 33.5 % of that age group. The poverty rate reaches 32 % and 67 % of the population lives in rural areas. 22.8 % of children receive no instruction at all, against 10.7 % in mahadra or Quranic school: these children are outside every learning path. The priority is to build schools.",1778,10.7,"Ouvrir des écoles::26 620 enfants ne reçoivent aucune instruction. Il faut environ 666 salles de classe pour les accueillir. | S'appuyer sur les mahadras existantes::12 493 enfants y suivent déjà un enseignement. Les certifier coûte moins cher que de construire, et donne un résultat plus vite. | Rapprocher l'école des familles::67 % de la population vit à la campagne. Mieux vaut plusieurs petites écoles de proximité qu'un grand établissement loin de tout.","فتح مدارس::26,620 طفلاً لا يتلقون أي تعليم. يلزم نحو 666 قاعة دراسية لاستقبالهم. | الاعتماد على المحاظر القائمة::12,493 طفلاً يدرسون فيها بالفعل. اعتمادها أقل كلفة من البناء ويعطي نتيجة أسرع. | تقريب المدرسة من الأسر::67 % من السكان يعيشون في الريف. عدة مدارس صغيرة قريبة أفضل من مؤسسة كبيرة بعيدة عن كل شيء.","Open schools::26,620 children receive no instruction at all. About 666 classrooms are needed to take them in. | Build on the existing mahadras::12,493 children already study there. Certifying them costs less than building and delivers results faster. | Bring school closer to families::67 % of the population lives in rural areas. Several small local schools work better than one large one far from everything.",26620,12493,977
Trarza,الترارزة,Trarza,301060,83985,26533,31.6,24.5,64.5,34.2,29.0,24.8,6.8,97,46,7,Moyenne,Substitution,"Trarza est classé en priorité moyenne (rang 7 sur 13). 26 533 enfants de 6 à 14 ans n'ont jamais fréquenté l'école formelle, soit 31,6 % de cette classe d'âge. Le taux de pauvreté y atteint 24 % et 64 % de la population vit en milieu rural. 24,8 % des enfants suivent une mahadra ou une école coranique et 6,8 % seulement ne reçoivent aucune instruction : la majorité apprend déjà, mais hors du système reconnu. Le levier prioritaire est la passerelle vers le formel.","تُصنَّف ولاية الترارزة ضمن أولوية متوسطة (الرتبة 7 من 13). 26,533 طفلاً تتراوح أعمارهم بين 6 و14 سنة لم يلتحقوا قط بالمدرسة النظامية، أي 31.6 % من هذه الفئة العمرية. يبلغ معدل الفقر 24 % ويعيش 64 % من السكان في الوسط الريفي. 24.8 % من الأطفال يدرسون في المحظرة أو الكتّاب و6.8 % فقط لا يتلقون أي تعليم: الأغلبية تتعلم بالفعل لكن خارج النظام المعترف به. الأولوية هي إنشاء جسور نحو التعليم النظامي.","Trarza ranks 7 of 13, medium priority. 26,533 children aged 6 to 14 have never attended formal school — 31.6 % of that age group. The poverty rate reaches 24 % and 64 % of the population lives in rural areas. 24.8 % of children attend a mahadra or Quranic school and only 6.8 % receive no instruction: most are already learning, but outside the recognised system. The priority is bridges into formal schooling.",1187,7.3,"Créer des passerelles::20 828 enfants sont en mahadra ou école coranique. Ils apprennent déjà : il faut reconnaître leurs acquis et leur ouvrir l'accès au diplôme. | Ne pas oublier les enfants sans aucune instruction::5 711 enfants ne sont nulle part, ni à l'école ni en mahadra. Les passerelles ne les atteindront pas : il leur faut une école. | Rapprocher l'école des familles::64 % de la population vit à la campagne. Mieux vaut plusieurs petites écoles de proximité qu'un grand établissement loin de tout. | Viser d'abord les garçons::L'écart atteint 5,2 points au détriment de les garçons. C'est l'un des écarts les plus marqués du pays : une campagne ciblée est justifiée.","إنشاء جسور::20,828 طفلاً يدرسون في المحظرة أو الكتّاب. هم يتعلمون بالفعل: يجب الاعتراف بمكتسباتهم وفتح الطريق أمامهم نحو الشهادة. | عدم نسيان الأطفال بلا أي تعليم::5,711 طفلاً ليسوا في أي مكان، لا في المدرسة ولا في المحظرة. الجسور لن تصل إليهم: يحتاجون إلى مدرسة. | تقريب المدرسة من الأسر::64 % من السكان يعيشون في الريف. عدة مدارس صغيرة قريبة أفضل من مؤسسة كبيرة بعيدة عن كل شيء. | استهداف الأولاد أولاً::يبلغ الفارق 5.2 نقطة على حساب الأولاد. وهو من أوسع الفوارق في البلاد: حملة موجّهة لها ما يبررها.","Build bridges::20,828 children attend a mahadra or Quranic school. They are already learning: recognise what they know and open the path to a qualification. | Do not forget children with no instruction::5,711 children are nowhere — neither school nor mahadra. Bridges will not reach them: they need a school. | Bring school closer to families::64 % of the population lives in rural areas. Several small local schools work better than one large one far from everything. | Target boys first::The gap reaches 5.2 points against boys. It is one of the widest in the country: a targeted campaign is warranted.",5711,20828,663
Brakna,لبراكنة,Brakna,326083,92999,23674,25.5,40.5,75.3,25.1,25.9,8.2,17.3,108,46,8,Moyenne,Exclusion,"Brakna est classé en priorité moyenne (rang 8 sur 13). 23 674 enfants de 6 à 14 ans n'ont jamais fréquenté l'école formelle, soit 25,5 % de cette classe d'âge. Le taux de pauvreté y atteint 40 % et 75 % de la population vit en milieu rural. 17,3 % des enfants ne reçoivent aucune instruction, contre 8,2 % en mahadra ou école coranique : ces enfants sont hors de tout circuit d'apprentissage. Le levier prioritaire est la création d'offre scolaire.","تُصنَّف ولاية لبراكنة ضمن أولوية متوسطة (الرتبة 8 من 13). 23,674 طفلاً تتراوح أعمارهم بين 6 و14 سنة لم يلتحقوا قط بالمدرسة النظامية، أي 25.5 % من هذه الفئة العمرية. يبلغ معدل الفقر 40 % ويعيش 75 % من السكان في الوسط الريفي. 17.3 % من الأطفال لا يتلقون أي تعليم، مقابل 8.2 % في المحظرة أو الكتّاب: هؤلاء الأطفال خارج كل مسار تعليمي. الأولوية هي بناء المدارس.","Brakna ranks 8 of 13, medium priority. 23,674 children aged 6 to 14 have never attended formal school — 25.5 % of that age group. The poverty rate reaches 40 % and 75 % of the population lives in rural areas. 17.3 % of children receive no instruction at all, against 8.2 % in mahadra or Quranic school: these children are outside every learning path. The priority is to build schools.",1426,6.5,"Ouvrir des écoles::16 089 enfants ne reçoivent aucune instruction. Il faut environ 402 salles de classe pour les accueillir. | S'appuyer sur les mahadras existantes::7 626 enfants y suivent déjà un enseignement. Les certifier coûte moins cher que de construire, et donne un résultat plus vite. | Lever l'obstacle du coût::40 % de la population vit dans la pauvreté. Cantines scolaires, gratuité des fournitures et transferts aux familles conditionnent la fréquentation réelle.","فتح مدارس::16,089 طفلاً لا يتلقون أي تعليم. يلزم نحو 402 قاعة دراسية لاستقبالهم. | الاعتماد على المحاظر القائمة::7,626 طفلاً يدرسون فيها بالفعل. اعتمادها أقل كلفة من البناء ويعطي نتيجة أسرع. | رفع عائق التكلفة::40 % من السكان يعيشون في فقر. المطاعم المدرسية ومجانية اللوازم والتحويلات للأسر هي ما يحدد الحضور الفعلي.","Open schools::16,089 children receive no instruction at all. About 402 classrooms are needed to take them in. | Build on the existing mahadras::7,626 children already study there. Certifying them costs less than building and delivers results faster. | Remove the cost barrier::40 % of the population lives in poverty. School canteens, free supplies and cash transfers to families decide whether children actually attend.",16089,7626,592
Tagant,تكانت,Tagant,83976,21795,6588,30.2,40.3,66.5,31.5,28.9,5.6,24.6,88,38,9,Moyenne,Exclusion,"Tagant est classé en priorité moyenne (rang 9 sur 13). 6 588 enfants de 6 à 14 ans n'ont jamais fréquenté l'école formelle, soit 30,2 % de cette classe d'âge. Le taux de pauvreté y atteint 40 % et 66 % de la population vit en milieu rural. 24,6 % des enfants ne reçoivent aucune instruction, contre 5,6 % en mahadra ou école coranique : ces enfants sont hors de tout circuit d'apprentissage. Le levier prioritaire est la création d'offre scolaire.","تُصنَّف ولاية تكانت ضمن أولوية متوسطة (الرتبة 9 من 13). 6,588 طفلاً تتراوح أعمارهم بين 6 و14 سنة لم يلتحقوا قط بالمدرسة النظامية، أي 30.2 % من هذه الفئة العمرية. يبلغ معدل الفقر 40 % ويعيش 66 % من السكان في الوسط الريفي. 24.6 % من الأطفال لا يتلقون أي تعليم، مقابل 5.6 % في المحظرة أو الكتّاب: هؤلاء الأطفال خارج كل مسار تعليمي. الأولوية هي بناء المدارس.","Tagant ranks 9 of 13, medium priority. 6,588 children aged 6 to 14 have never attended formal school — 30.2 % of that age group. The poverty rate reaches 40 % and 66 % of the population lives in rural areas. 24.6 % of children receive no instruction at all, against 5.6 % in mahadra or Quranic school: these children are outside every learning path. The priority is to build schools.",483,1.8,"Ouvrir des écoles::5 362 enfants ne reçoivent aucune instruction. Il faut environ 134 salles de classe pour les accueillir. | S'appuyer sur les mahadras existantes::1 221 enfants y suivent déjà un enseignement. Les certifier coûte moins cher que de construire, et donne un résultat plus vite. | Lever l'obstacle du coût::40 % de la population vit dans la pauvreté. Cantines scolaires, gratuité des fournitures et transferts aux familles conditionnent la fréquentation réelle.","فتح مدارس::5,362 طفلاً لا يتلقون أي تعليم. يلزم نحو 134 قاعة دراسية لاستقبالهم. | الاعتماد على المحاظر القائمة::1,221 طفلاً يدرسون فيها بالفعل. اعتمادها أقل كلفة من البناء ويعطي نتيجة أسرع. | رفع عائق التكلفة::40 % من السكان يعيشون في فقر. المطاعم المدرسية ومجانية اللوازم والتحويلات للأسر هي ما يحدد الحضور الفعلي.","Open schools::5,362 children receive no instruction at all. About 134 classrooms are needed to take them in. | Build on the existing mahadras::1,221 children already study there. Certifying them costs less than building and delivers results faster. | Remove the cost barrier::40 % of the population lives in poverty. School canteens, free supplies and cash transfers to families decide whether children actually attend.",5362,1221,165
Inchiri,إنشيري,Inchiri,24425,5494,926,16.9,27.5,22.8,19.1,14.7,12.4,4.5,73,17,10,Faible,Substitution,"Inchiri est classé en priorité faible (rang 10 sur 13). 926 enfants de 6 à 14 ans n'ont jamais fréquenté l'école formelle, soit 16,9 % de cette classe d'âge. Le taux de pauvreté y atteint 27 % et 23 % de la population vit en milieu rural. 12,4 % des enfants suivent une mahadra ou une école coranique et 4,5 % seulement ne reçoivent aucune instruction : la majorité apprend déjà, mais hors du système reconnu. Le levier prioritaire est la passerelle vers le formel.",تُصنَّف ولاية إنشيري ضمن أولوية منخفضة (الرتبة 10 من 13). 926 طفلاً تتراوح أعمارهم بين 6 و14 سنة لم يلتحقوا قط بالمدرسة النظامية، أي 16.9 % من هذه الفئة العمرية. يبلغ معدل الفقر 27 % ويعيش 23 % من السكان في الوسط الريفي. 12.4 % من الأطفال يدرسون في المحظرة أو الكتّاب و4.5 % فقط لا يتلقون أي تعليم: الأغلبية تتعلم بالفعل لكن خارج النظام المعترف به. الأولوية هي إنشاء جسور نحو التعليم النظامي.,"Inchiri ranks 10 of 13, low priority. 926 children aged 6 to 14 have never attended formal school — 16.9 % of that age group. The poverty rate reaches 27 % and 23 % of the population lives in rural areas. 12.4 % of children attend a mahadra or Quranic school and only 4.5 % receive no instruction: most are already learning, but outside the recognised system. The priority is bridges into formal schooling.",267,0.3,"Créer des passerelles::681 enfants sont en mahadra ou école coranique. Ils apprennent déjà : il faut reconnaître leurs acquis et leur ouvrir l'accès au diplôme. | Ne pas oublier les enfants sans aucune instruction::247 enfants ne sont nulle part, ni à l'école ni en mahadra. Les passerelles ne les atteindront pas : il leur faut une école. | Cibler les quartiers, pas la wilaya::Le milieu est majoritairement urbain (77 %). Le besoin n'est pas réparti également : il se concentre dans les quartiers périphériques. | Viser d'abord les garçons::L'écart atteint 4,4 points au détriment de les garçons. C'est l'un des écarts les plus marqués du pays : une campagne ciblée est justifiée.",إنشاء جسور::681 طفلاً يدرسون في المحظرة أو الكتّاب. هم يتعلمون بالفعل: يجب الاعتراف بمكتسباتهم وفتح الطريق أمامهم نحو الشهادة. | عدم نسيان الأطفال بلا أي تعليم::247 طفلاً ليسوا في أي مكان، لا في المدرسة ولا في المحظرة. الجسور لن تصل إليهم: يحتاجون إلى مدرسة. | استهداف الأحياء لا الولاية::الوسط حضري في معظمه (77 %). الحاجة ليست موزعة بالتساوي: إنها تتركز في الأحياء الطرفية. | استهداف الأولاد أولاً::يبلغ الفارق 4.4 نقطة على حساب الأولاد. وهو من أوسع الفوارق في البلاد: حملة موجّهة لها ما يبررها.,"Build bridges::681 children attend a mahadra or Quranic school. They are already learning: recognise what they know and open the path to a qualification. | Do not forget children with no instruction::247 children are nowhere — neither school nor mahadra. Bridges will not reach them: they need a school. | Target neighbourhoods, not the wilaya::The area is mostly urban (77 %). The need is not evenly spread: it concentrates in outlying neighbourhoods. | Target boys first::The gap reaches 4.4 points against boys. It is one of the widest in the country: a targeted campaign is warranted.",247,681,23
